N,cap,sol_val,op,method
18,26,2625,4718597,exhaustive-search
18,28,3209,822,bottom-up
18,28,3209,892,top-down
18,28,3209,1232,backtracking
18,28,3209,88,greedy
18,28,3209,3012,brute-force
18,28,3209,4718602,exhaustive-search
18,30,2846,872,bottom-up
18,30,2846,621,top-down
18,30,2846,1207,backtracking
18,30,2846,94,greedy
18,30,2846,2634,brute-force
18,30,2846,4718601,exhaustive-search
18,32,3378,877,bottom-up
18,32,3378,513,top-down
18,32,3378,653,backtracking
18,32,3101,90,greedy
18,32,3378,1206,brute-force
18,32,3378,4718600,exhaustive-search
20,8,2892,295,bottom-up
20,8,2892,465,top-down
20,8,2892,3880,backtracking
20,8,2892,112,greedy
20,8,2892,10142,brute-force
20,8,2892,20971538,exhaustive-search
20,10,2685,347,bottom-up
20,10,2685,565,top-down
20,10,2685,3328,backtracking
20,10,2685,110,greedy
20,10,2685,5526,brute-force
20,10,2685,20971533,exhaustive-search
20,12,1765,379,bottom-up
20,12,1765,473,top-down
20,12,1765,803,backtracking
20,12,1741,130,greedy
20,12,1765,1278,brute-force
20,12,1765,20971529,exhaustive-search
20,14,2739,463,bottom-up
20,14,2739,515,top-down
20,14,2739,1420,backtracking
20,14,2739,109,greedy
20,14,2739,2904,brute-force
20,14,2739,20971536,exhaustive-search
20,16,3989,518,bottom-up
20,16,3989,550,top-down
20,16,3989,1563,backtracking
20,16,3627,98,greedy
20,16,3989,3433,brute-force
20,16,3989,20971530,exhaustive-search
20,18,3145,587,bottom-up
20,18,3145,1043,top-down
20,18,3145,3225,backtracking
20,18,3145,97,greedy
20,18,3145,6476,brute-force
20,18,3145,20971535,exhaustive-search
20,20,1865,616,bottom-up
20,20,1865,423,top-down
20,20,1865,894,backtracking
20,20,1863,104,greedy
20,20,1865,1278,brute-force
20,20,1865,20971529,exhaustive-search
20,22,2909,710,bottom-up
20,22,2909,815,top-down
20,22,2909,1462,backtracking
20,22,2909,111,greedy
20,22,2909,3002,brute-force
20,22,2909,20971536,exhaustive-search
20,24,3529,762,bottom-up
20,24,3529,660,top-down
20,24,3529,900,backtracking
20,24,3521,115,greedy
20,24,3529,2912,brute-force
20,24,3529,20971538,exhaustive-search
20,26,3531,840,bottom-up
20,26,3531,1083,top-down
20,26,3531,1990,backtracking
20,26,3421,93,greedy
20,26,3531,4020,brute-force
20,26,3531,20971536,exhaustive-search
20,28,3781,883,bottom-up
20,28,3781,879,top-down
20,28,3781,2777,backtracking
20,28,3781,107,greedy
20,28,3781,4823,brute-force
20,28,3781,20971530,exhaustive-search
20,30,3972,936,bottom-up
20,30,3972,1092,top-down
20,30,3972,2204,backtracking
20,30,3614,105,greedy
20,30,3972,3996,brute-force
20,30,3972,20971537,exhaustive-search
20,32,4697,992,bottom-up
20,32,4697,1154,top-down
20,32,4697,2086,backtracking
20,32,4449,109,greedy
20,32,4697,4806,brute-force
20,32,4697,20971537,exhaustive-search
22,8,3014,309,bottom-up
22,8,3014,447,top-down
22,8,3014,2941,backtracking
22,8,2923,111,greedy
22,8,3014,4711,brute-force
22,8,3014,92274706,exhaustive-search
22,10,3071,387,bottom-up
22,10,3071,664,top-down
22,10,3071,3179,backtracking
22,10,2997,115,greedy
22,10,3071,9621,brute-force
22,10,3071,92274715,exhaustive-search
22,12,3426,460,bottom-up
22,12,3426,696,top-down
22,12,3426,3017,backtracking
22,12,3301,107,greedy
22,12,3426,7613,brute-force
22,12,3426,92274704,exhaustive-search
22,14,4405,511,bottom-up
22,14,4405,644,top-down
22,14,4405,2916,backtracking
22,14,4148,150,greedy
22,14,4405,7082,brute-force
22,14,4405,92274704,exhaustive-search
22,16,3302,565,bottom-up
22,16,3302,922,top-down
22,16,3302,2418,backtracking
22,16,3302,124,greedy
22,16,3302,4769,brute-force
22,16,3302,92274709,exhaustive-search
22,18,2437,639,bottom-up
22,18,2437,856,top-down
22,18,2437,1743,backtracking
22,18,2148,123,greedy
22,18,2437,3093,brute-force
22,18,2437,92274698,exhaustive-search
22,20,3884,714,bottom-up
22,20,3884,1030,top-down
22,20,3884,2425,backtracking
22,20,3823,121,greedy
22,20,3884,5050,brute-force
22,20,3884,92274706,exhaustive-search
22,22,3623,794,bottom-up
22,22,3623,1027,top-down
22,22,3623,2168,backtracking
22,22,3510,107,greedy
22,22,3623,6194,brute-force
22,22,3623,92274707,exhaustive-search
22,24,4324,858,bottom-up
22,24,4324,888,top-down
22,24,4324,4999,backtracking
22,24,4324,116,greedy
22,24,4324,9756,brute-force
22,24,4324,92274705,exhaustive-search
22,26,2617,864,bottom-up
22,26,2617,936,top-down
22,26,2617,1899,backtracking
22,26,2459,110,greedy
22,26,2617,2554,brute-force
22,26,2617,92274703,exhaustive-search
22,28,3130,943,bottom-up
22,28,3130,746,top-down
22,28,3130,1676,backtracking
22,28,3130,109,greedy
22,28,3130,2840,brute-force
22,28,3130,92274702,exhaustive-search
22,30,4533,1083,bottom-up
22,30,4533,1207,top-down
22,30,4533,5915,backtracking
22,30,4494,119,greedy
22,30,4533,24931,brute-force
22,30,4533,92274707,exhaustive-search
22,32,2268,1073,bottom-up
22,32,2268,694,top-down
22,32,2268,968,backtracking
22,32,2030,129,greedy
22,32,2268,2110,brute-force
22,32,2268,92274708,exhaustive-search
24,8,3837,327,bottom-up
24,8,3837,536,top-down
24,8,3837,1707,backtracking
24,8,3837,148,greedy
24,8,3837,4072,brute-force
24,8,3837,402653204,exhaustive-search
24,10,2979,415,bottom-up
24,10,2979,692,top-down
24,10,2979,6815,backtracking
24,10,2979,143,greedy
24,10,2979,10580,brute-force
24,10,2979,402653202,exhaustive-search
24,12,4403,480,bottom-up
24,12,4403,629,top-down
24,12,4403,2413,backtracking
24,12,4403,120,greedy
24,12,4403,6043,brute-force
24,12,4403,402653214,exhaustive-search
24,14,4236,557,bottom-up
24,14,4236,750,top-down
24,14,4236,1667,backtracking
24,14,4236,130,greedy
24,14,4236,7898,brute-force
24,14,4236,402653210,exhaustive-search
24,16,2268,606,bottom-up
24,16,2268,1128,top-down
24,16,2268,2462,backtracking
24,16,2268,124,greedy
24,16,2268,3350,brute-force
24,16,2268,402653198,exhaustive-search
24,18,2362,648,bottom-up
24,18,2362,713,top-down
24,18,2362,1442,backtracking
24,18,2120,151,greedy
24,18,2362,2170,brute-force
24,18,2362,402653196,exhaustive-search
24,20,4848,816,bottom-up
24,20,4848,1036,top-down
24,20,4848,5596,backtracking
24,20,4848,142,greedy
24,20,4848,39737,brute-force
24,20,4848,402653218,exhaustive-search
24,22,4393,885,bottom-up
24,22,4393,1203,top-down
24,22,4393,6085,backtracking
24,22,4393,149,greedy
24,22,4393,26159,brute-force
24,22,4393,402653246,exhaustive-search
24,24,3816,932,bottom-up
24,24,3816,1446,top-down
24,24,3816,7692,backtracking
24,24,3816,123,greedy
24,24,3816,11019,brute-force
24,24,3816,402653197,exhaustive-search
24,26,3836,1014,bottom-up
24,26,3836,1041,top-down
24,26,3836,5470,backtracking
24,26,3836,145,greedy
24,26,3836,15285,brute-force
24,26,3836,402653211,exhaustive-search
24,28,3462,1037,bottom-up
24,28,3462,1218,top-down
24,28,3462,1966,backtracking
24,28,3462,115,greedy
24,28,3462,4250,brute-force
24,28,3462,402653201,exhaustive-search
24,30,3839,1159,bottom-up
24,30,3839,1355,top-down
24,30,3839,3441,backtracking
24,30,3694,135,greedy
24,30,3839,11548,brute-force
24,30,3839,402653209,exhaustive-search
24,32,2443,1211,bottom-up
24,32,2443,1343,top-down
24,32,2443,4509,backtracking
24,32,2443,131,greedy
24,32,2443,5587,brute-force
24,32,2443,402653197,exhaustive-search
26,8,4260,360,bottom-up
26,8,4260,558,top-down
26,8,4260,3464,backtracking
26,8,4103,148,greedy
26,8,4260,6463,brute-force
26,8,4260,1744830481,exhaustive-search
26,10,2409,429,bottom-up
26,10,2409,741,top-down
26,10,2409,1288,backtracking
26,10,2299,150,greedy
26,10,2409,2711,brute-force
26,10,2409,1744830480,exhaustive-search
26,12,2385,497,bottom-up
26,12,2385,928,top-down
26,12,2385,1790,backtracking
26,12,2070,165,greedy
26,12,2385,2895,brute-force
26,12,2385,1744830477,exhaustive-search
26,14,2664,592,bottom-up
26,14,2664,1075,top-down
26,14,2664,3800,backtracking
26,14,2627,137,greedy
26,14,2664,6532,brute-force
26,14,2664,1744830475,exhaustive-search
26,16,3688,650,bottom-up
26,16,3688,1088,top-down
26,16,3688,2909,backtracking
26,16,3688,171,greedy
26,16,3688,5194,brute-force
26,16,3688,1744830481,exhaustive-search
26,18,4182,779,bottom-up
26,18,4182,1036,top-down
26,18,4182,6388,backtracking
26,18,4182,135,greedy
26,18,4182,17467,brute-force
26,18,4182,1744830483,exhaustive-search
26,20,4288,819,bottom-up
26,20,4288,1224,top-down
26,20,4288,5447,backtracking
26,20,3949,143,greedy
26,20,4288,11108,brute-force
26,20,4288,1744830483,exhaustive-search
26,22,2841,905,bottom-up
26,22,2841,1328,top-down
26,22,2841,3238,backtracking
26,22,2841,172,greedy
26,22,2841,5351,brute-force
